,8012,8022
2015-03-20,4480,3556
2015-03-21,1384,1603
2015-03-22,375,331
2015-03-23,4251,3706
2015-03-24,4421,3545
2015-03-25,4475,3518
2015-03-26,4388,3584
2015-03-27,4040,3402
2015-03-28,1388,1404
2015-03-29,641,609
2015-03-30,3708,3007
2015-03-31,4286,2660
2015-04-01,3870,2952
2015-04-02,3137,2582
2015-04-03,367,399
2015-04-04,492,581
2015-04-05,334,283
2015-04-06,4315,3421
2015-04-07,4210,3443
2015-04-08,4070,3444
2015-04-09,4148,3418
2015-04-10,4365,3461
2015-04-11,1417,1621
2015-04-12,418,413
2015-04-13,4331,3732
2015-04-14,4586,3747
2015-04-15,4017,3525
2015-04-16,4268,3763
2015-04-17,4289,3563
2015-04-18,887,1042
2015-04-19,371,332
2015-04-20,1022,822
2015-04-21,495,488
2015-04-22,4266,3597
2015-04-23,4428,3819
2015-04-24,4542,3784
2015-04-25,1718,1963
2015-04-26,472,341
2015-04-27,4506,3783
2015-04-28,4615,3825
2015-04-29,4430,3971
2015-04-30,4022,3379
2015-05-01,502,343
2015-05-02,402,648
2015-05-03,502,244
2015-05-04,4208,3506
2015-05-05,4272,3632
2015-05-06,4363,3611
2015-05-07,4301,3714
2015-05-08,4287,3598
2015-05-09,1461,1496
2015-05-10,329,331
2015-05-11,4580,3400
2015-05-12,4828,4031
2015-05-13,4366,3838
2015-05-14,4050,3466
2015-05-15,4664,3777
2015-05-16,1599,1938
2015-05-17,536,436
2015-05-18,4337,3534
2015-05-19,4346,3652
2015-05-20,4464,3688
2015-05-21,4400,3640
2015-05-22,4609,3439
2015-05-23,1552,1879
2015-05-24,529,550
2015-05-25,4342,3732
2015-05-26,4527,3669
2015-05-27,4273,3557
2015-05-28,4299,3578
2015-05-29,3705,2871
2015-05-30,1595,1660
2015-05-31,455,480
2015-06-01,4206,3525
2015-06-02,4290,3547
2015-06-03,4199,3406
2015-06-04,555,541
2015-06-05,1148,891
2015-06-06,630,674
2015-06-07,378,382
2015-06-08,4318,3607
2015-06-09,4567,3657
2015-06-10,4519,3760
2015-06-11,4479,3726
2015-06-12,4370,3512
2015-06-13,1287,1342
2015-06-14,472,459
2015-06-15,4197,3437
2015-06-16,4392,3658
2015-06-17,4252,3518
2015-06-18,4417,3623
2015-06-19,4195,3339
2015-06-20,1509,1600
2015-06-21,474,571
2015-06-22,4351,3276
2015-06-23,4182,3458
2015-06-24,4182,3386
2015-06-25,4171,3537
2015-06-26,4335,3222
2015-06-27,1406,1482
2015-06-28,464,509
2015-06-29,3884,3226
2015-06-30,3882,3116
2015-07-01,3807,3040
2015-07-02,3693,3084
2015-07-03,3682,2860
2015-07-04,1201,1389
2015-07-05,391,434
2015-07-06,3498,2703
2015-07-07,2870,2526
2015-07-08,3327,2598
2015-07-09,507,587
2015-07-10,1260,826
2015-07-11,644,680
2015-07-12,482,454
2015-07-13,2967,2506
2015-07-14,3043,2379
2015-07-15,3335,2505
2015-07-16,2987,2332
2015-07-17,2932,2289
2015-07-18,877,1093
2015-07-19,353,352
2015-07-20,2972,2331
2015-07-21,3007,2260
2015-07-22,2881,2360
2015-07-23,2910,2403
2015-07-24,2908,2165
2015-07-25,703,1061
2015-07-26,445,282
2015-07-27,3026,2443
2015-07-28,3099,2471
2015-07-29,3103,2687
2015-07-30,3384,2684
2015-07-31,3380,2637
2015-08-01,975,1199
2015-08-02,541,482
2015-08-03,4324,3553
2015-08-04,4390,3609
2015-08-05,4333,3514
2015-08-06,4426,3675
2015-08-07,4372,3388
2015-08-08,1242,1254
2015-08-09,402,391
2015-08-10,4716,4014
2015-08-11,4872,3922
2015-08-12,4969,3984
2015-08-13,4884,3987
2015-08-14,4291,3402
2015-08-15,1724,1680
2015-08-16,458,394
2015-08-17,4621,3784
2015-08-18,5016,3871
2015-08-19,4782,3777
2015-08-20,4882,3948
2015-08-21,4293,3338
2015-08-22,1352,1382
2015-08-23,526,690
2015-08-24,4490,3824
2015-08-25,4642,3615
2015-08-26,4705,3881
2015-08-27,4203,3676
2015-08-28,4283,3237
2015-08-29,1335,1498
2015-08-30,481,601
2015-08-31,4419,3618
2015-09-01,4640,3836
2015-09-02,4499,3912
2015-09-03,4621,3772
2015-09-04,4069,3252
2015-09-05,1037,1033
2015-09-06,353,336
2015-09-07,399,394
2015-09-08,3481,2733
2015-09-09,3660,3047
2015-09-10,3673,3023
2015-09-11,3436,2580
2015-09-12,1154,1094
2015-09-13,501,491
2015-09-14,4365,3892
2015-09-15,4744,4040
2015-09-16,4504,3935
2015-09-17,4717,3830
2015-09-18,4423,3666
2015-09-19,1393,1530
2015-09-20,509,467
2015-09-21,4331,3959
2015-09-22,4781,3920
2015-09-23,4632,3898
2015-09-24,4760,3878
2015-09-25,4168,3493
2015-09-26,1448,1432
2015-09-27,641,616
2015-09-28,4583,3989
2015-09-29,4666,4092
2015-09-30,4692,4022
2015-10-01,4544,3836
2015-10-02,4653,3533
2015-10-03,1492,1687
2015-10-04,573,538
2015-10-05,4641,3907
2015-10-06,4693,3906
2015-10-07,4626,3844
2015-10-08,4774,3876
2015-10-09,4262,3499
2015-10-10,1174,1074
2015-10-11,431,408
2015-10-12,462,441
2015-10-13,4511,3651
2015-10-14,4540,3931
2015-10-15,4269,3368
2015-10-16,4192,3392
2015-10-17,1717,1876
2015-10-18,1026,917
2015-10-19,4604,3864
2015-10-20,4709,3778
2015-10-21,4532,3759
2015-10-22,4607,3660
2015-10-23,4413,3694
2015-10-24,1302,1312
2015-10-25,479,722
2015-10-26,4255,3773
2015-10-27,4617,3881
2015-10-28,4014,3471
2015-10-29,4665,3965
2015-10-30,1980,1574
2015-10-31,806,780
2015-11-01,393,347
2015-11-02,389,478
2015-11-03,4122,3860
2015-11-04,4733,3969
2015-11-05,4876,4031
2015-11-06,4657,3599
2015-11-07,1473,1469
2015-11-08,670,609
2015-11-09,4560,3825
2015-11-10,4804,3880
2015-11-11,4743,3916
2015-11-12,4813,3945
2015-11-13,4487,3600
2015-11-14,1200,1678
2015-11-15,462,474
2015-11-16,4429,3694
2015-11-17,4489,3797
2015-11-18,4481,3856
2015-11-19,4612,3901
2015-11-20,653,716
2015-11-21,748,707
2015-11-22,477,524
2015-11-23,4318,3660
2015-11-24,4389,3809
2015-11-25,4252,3612
2015-11-26,4717,3869
2015-11-27,4319,3564
2015-11-28,1178,1203
2015-11-29,1141,1151
2015-11-30,3982,3513
2015-12-01,4339,3463
2015-12-02,4317,3378
2015-12-03,4230,3505
2015-12-04,4189,3490
2015-12-05,1290,1181
2015-12-06,515,628
2015-12-07,3862,3324
2015-12-08,3716,3145
2015-12-09,4784,4781
2015-12-10,5280,3659
2015-12-11,5146,3707
2015-12-12,1015,866
2015-12-13,445,635
2015-12-14,3309,2763
2015-12-15,3144,2517
2015-12-16,3079,2519
2015-12-17,2966,2355
2015-12-18,2738,2162
2015-12-19,605,674
2015-12-20,402,373
2015-12-21,1953,1646
2015-12-22,1798,1663
2015-12-23,1419,1231
2015-12-24,347,360
2015-12-25,222,223
2015-12-26,346,292
2015-12-27,273,290
2015-12-28,961,726
2015-12-29,967,705
2015-12-30,788,606
2015-12-31,344,303
2016-01-01,195,210
2016-01-02,311,325
2016-01-03,297,289
2016-01-04,2020,1706
2016-01-05,2002,1906
2016-01-06,2088,1885
2016-01-07,2177,1840
2016-01-08,2096,1794
2016-01-09,459,514
2016-01-10,749,615
2016-01-11,2815,2476
2016-01-12,3050,2639
2016-01-13,2532,2270
2016-01-14,2707,2355
2016-01-15,2735,2316
2016-01-16,609,663
2016-01-17,328,353
2016-01-18,2649,2253
2016-01-19,2694,2436
2016-01-20,2586,2350
2016-01-21,2645,2479
2016-01-22,2927,2484
2016-01-23,686,758
2016-01-24,697,623
2016-01-25,455,503
2016-01-26,2844,2494
2016-01-27,2614,2447
2016-01-28,2882,2335
2016-01-29,2609,2280
2016-01-30,852,852
2016-01-31,380,395
2016-02-01,3198,2682
2016-02-02,3186,2562
2016-02-03,3224,2595
2016-02-04,3188,2772
2016-02-05,3138,2498
2016-02-06,807,813
2016-02-07,360,346
2016-02-08,593,649
2016-02-09,476,469
2016-02-10,1191,978
2016-02-11,4955,3931
2016-02-12,3464,2883
2016-02-13,1033,1137
2016-02-14,403,442
2016-02-15,5298,4265
2016-02-16,5492,4372
2016-02-17,5484,4128
2016-02-18,4799,3879
2016-02-19,4345,3613
2016-02-20,1173,1155
2016-02-21,516,441
2016-02-22,5248,4502
2016-02-23,5215,4386
2016-02-24,4523,3801
2016-02-25,4407,3790
2016-02-26,4005,3553
2016-02-27,1083,1046
2016-02-28,495,440
2016-02-29,4355,3923
